scenario_id,leak_exists,leak_start_time,leak_orifice_d_mm,leak_position_m,leak_onset_type,leak_onset_duration_s,pipe_length_m,pipe_diameter_m,pipe_roughness_m,fluid,P_inlet_Pa,P_outlet_Pa,demand_amplitude,sensor_P_noise_Pa,sensor_Q_noise,duration_s,notes
normal_0248,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,29170879.647217624,4153126.739402426,0.04590086487062148,22432.818133244225,0.006202265308581466,1800.0,Normal operation with demand variation
normal_0051,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,9916030.096626999,1074469.3953957176,0.038452104345247165,18340.663198024413,0.007624267725591141,1800.0,Normal operation with demand variation
normal_0196,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,31785741.483534656,4684291.5178114055,0.045745932288155405,23751.288734845377,0.0027422836330139155,1800.0,Normal operation with demand variation
normal_0071,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,21217920.298607565,2456155.1702530673,0.03768531159216578,10544.816317430921,0.00676571019748582,1800.0,Normal operation with demand variation
normal_0230,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,34482335.97479095,4295624.397166163,0.07958593176305816,32337.392785541007,0.005622961325696145,1800.0,Normal operation with demand variation
normal_0103,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,30180586.10516476,4966359.600761688,0.04692377043207503,39267.86937485199,0.00898287167019343,1800.0,Normal operation with demand variation
leak_medium_0111,1,501.9832547449454,10.16,3637.6,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,19465966.901175078,3292652.471049805,0.058315471779832484,28685.528975685243,0.008795694549153289,1800.0,"medium sudden leak at 3638 m, d=10.2 mm, start=502 s"
leak_small_0218,1,791.0031573292586,5.4,6158.6,exponential,124.33703477224788,10000.0,0.508,4.6e-05,crude_oil,26711797.776483048,4286057.372320583,0.03673165749429212,24987.26135075317,0.00617189690255349,1800.0,"small exponential leak at 6159 m, d=5.4 mm, start=791 s"
normal_0040,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16451302.546650497,4811085.587453333,0.06198655667534396,14453.169697601741,0.0060668219075755364,1800.0,Normal operation with demand variation
normal_0140,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,15757910.864370905,3315548.0296874656,0.03278449606394014,39822.33317357136,0.0023091544786150767,1800.0,Normal operation with demand variation
leak_large_0010,1,642.618639279744,29.34,4765.9,exponential,278.03944606654966,10000.0,0.508,4.6e-05,crude_oil,17853645.62168222,3118295.7471782807,0.031058600125391442,37728.41151037182,0.008117793753134064,1800.0,"large exponential leak at 4766 m, d=29.3 mm, start=643 s"
normal_0127,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16828087.704309765,2622569.4163370803,0.04608558480854277,15066.191248381443,0.009493357534921013,1800.0,Normal operation with demand variation
leak_medium_0202,1,207.52232060357335,9.08,2166.0,exponential,66.22557743285176,10000.0,0.508,4.6e-05,crude_oil,4117012.4502393315,3617012.4502393315,0.0435651135932722,25063.983659038935,0.005454784009077579,1800.0,"medium exponential leak at 2166 m, d=9.1 mm, start=208 s"
normal_0022,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,10366623.62997581,3238042.8407303393,0.02399353141731069,34739.92571369024,0.004482677391392595,1800.0,Normal operation with demand variation
leak_small_0142,1,613.0566253256253,6.15,7558.3,exponential,237.00942860671722,10000.0,0.508,4.6e-05,crude_oil,3457613.0042572804,2776323.589222357,0.03728492437613845,15152.594382052619,0.006897199005676114,1800.0,"small exponential leak at 7558 m, d=6.2 mm, start=613 s"
leak_large_0128,1,339.03276109166893,21.68,4885.4,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,18403006.43666528,4509475.199029369,0.06170230326859509,16750.708890539572,0.004244193643315916,1800.0,"large sudden leak at 4885 m, d=21.7 mm, start=339 s"
leak_medium_0227,1,727.6516071200039,15.65,6102.3,exponential,109.73464698308275,10000.0,0.508,4.6e-05,crude_oil,20069071.834722064,2599691.2026408236,0.04969374886361261,34384.05674277548,0.0038048736338547537,1800.0,"medium exponential leak at 6102 m, d=15.7 mm, start=728 s"
normal_0219,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,9632066.84717787,2689948.7250938867,0.07473232042452058,37074.699022687564,0.008632700666687223,1800.0,Normal operation with demand variation
leak_large_0223,1,811.7336359376201,23.33,3040.0,ramp,104.44417957688988,10000.0,0.508,4.6e-05,crude_oil,4893327.638797513,3451338.39029002,0.037765275119275875,23884.63403671707,0.007645904433937861,1800.0,"large ramp leak at 3040 m, d=23.3 mm, start=812 s"
leak_small_0118,1,330.7916422989074,6.54,5830.0,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,28370702.41180602,3618118.9750107736,0.07496790127460161,37279.03946920812,0.00796755484748652,1800.0,"small sudden leak at 5830 m, d=6.5 mm, start=331 s"
normal_0010,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,34860753.887857735,4018120.345828279,0.05504587813476414,22474.222065118287,0.00233291339089514,1800.0,Normal operation with demand variation
normal_0209,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,28214472.080032777,3445570.917065164,0.07591666215379977,22507.376101562335,0.006299500586831813,1800.0,Normal operation with demand variation
normal_0096,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,15743359.011830512,1347112.5019282885,0.03155544939385459,28590.055779095845,0.009463206259306026,1800.0,Normal operation with demand variation
leak_medium_0015,1,570.0517715975244,8.14,3158.0,ramp,64.79689926102829,10000.0,0.508,4.6e-05,crude_oil,21564487.18066182,3079546.2142015686,0.0603996984441173,14865.398048313538,0.0046590170802893165,1800.0,"medium ramp leak at 3158 m, d=8.1 mm, start=570 s"
leak_medium_0005,1,593.1686174577102,11.65,3700.8,ramp,79.49590370477588,10000.0,0.508,4.6e-05,crude_oil,18363810.880567066,2049589.2406696747,0.07484120379687871,13022.845633641191,0.006737429948045355,1800.0,"medium ramp leak at 3701 m, d=11.7 mm, start=593 s"
normal_0119,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,8968101.493049715,3841959.387188813,0.0784650273865308,36142.27260223642,0.007073875471733827,1800.0,Normal operation with demand variation
normal_0041,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,1536378.4394910615,732576.3910411532,0.05665925282219769,22263.493282860913,0.0037410282135756957,1800.0,Normal operation with demand variation
leak_large_0020,1,480.0269542193736,20.53,7569.4,exponential,30.976386091934053,10000.0,0.508,4.6e-05,crude_oil,3213725.4795479346,2259412.1927754893,0.05330061475639432,37953.838586589496,0.008092061982559174,1800.0,"large exponential leak at 7569 m, d=20.5 mm, start=480 s"
normal_0047,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,23390697.308817133,4966125.825141953,0.043554362950515194,23013.370819677788,0.0057546154735232105,1800.0,Normal operation with demand variation
leak_large_0244,1,630.1546485484793,22.98,7043.5,exponential,151.35343333877836,10000.0,0.508,4.6e-05,crude_oil,19941588.209221266,2083790.2483833083,0.02944067232910972,19341.623100101344,0.0070426670966290475,1800.0,"large exponential leak at 7043 m, d=23.0 mm, start=630 s"
leak_medium_0159,1,740.9546918887442,8.1,3427.9,exponential,53.21972234143727,10000.0,0.508,4.6e-05,crude_oil,25392849.64876755,3590675.7154900506,0.03533766463814538,34871.147672550476,0.0037529333926770766,1800.0,"medium exponential leak at 3428 m, d=8.1 mm, start=741 s"
normal_0216,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,29983456.3143366,4203770.321078448,0.05651958515760702,11528.322670090669,0.009386421522063029,1800.0,Normal operation with demand variation
normal_0171,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,31142092.808338344,3284406.2811996727,0.06398746847357271,16587.38776606274,0.0057113782888804,1800.0,Normal operation with demand variation
leak_medium_0098,1,279.43541126549906,13.24,3120.5,ramp,93.95236284436777,10000.0,0.508,4.6e-05,crude_oil,10570200.156484578,3325699.7565796445,0.020134112284843828,15409.343379855312,0.006908751501728888,1800.0,"medium ramp leak at 3120 m, d=13.2 mm, start=279 s"
normal_0143,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,17894297.075080648,4286211.566690548,0.035961852357299914,14051.142881687083,0.00955038694482969,1800.0,Normal operation with demand variation
leak_small_0044,1,750.2567348374365,4.99,6594.4,exponential,138.45866938567013,10000.0,0.508,4.6e-05,crude_oil,23372015.493375972,2573709.292520218,0.038423114957750526,21610.51346872551,0.008560837958269583,1800.0,"small exponential leak at 6594 m, d=5.0 mm, start=750 s"
leak_large_0120,1,466.0803966287094,22.15,5864.5,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,25847803.708693974,4762397.069299102,0.07531786005219256,18174.65776351597,0.007270534134539367,1800.0,"large sudden leak at 5865 m, d=22.2 mm, start=466 s"
normal_0136,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,30992108.083950434,1784039.0014836476,0.04965887201207707,26564.881099132814,0.008692904328261544,1800.0,Normal operation with demand variation
leak_medium_0115,1,795.2593449903814,9.6,6362.1,ramp,137.98683238822252,10000.0,0.508,4.6e-05,crude_oil,37273496.50145487,1662964.031050752,0.07981456547660243,23592.463624294818,0.008852601417193524,1800.0,"medium ramp leak at 6362 m, d=9.6 mm, start=795 s"
leak_medium_0072,1,505.99565648122893,17.8,3503.7,ramp,53.68920143231158,10000.0,0.508,4.6e-05,crude_oil,13383934.900866248,1552417.6514475474,0.029694717462291315,15171.016796927419,0.009438146001080585,1800.0,"medium ramp leak at 3504 m, d=17.8 mm, start=506 s"
leak_medium_0180,1,673.9542033462347,17.86,7898.0,exponential,58.11861342819683,10000.0,0.508,4.6e-05,crude_oil,4294697.959298257,849450.0706635226,0.052178637315497475,35179.10716203261,0.0024609877723764527,1800.0,"medium exponential leak at 7898 m, d=17.9 mm, start=674 s"
normal_0055,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,15486984.723138513,1882488.018900953,0.06642324096509758,34026.14776319896,0.002391709678586234,1800.0,Normal operation with demand variation
leak_large_0173,1,574.6029190866955,27.23,7462.5,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,22911331.233595483,3546146.242755432,0.058016227156511654,27234.02977814075,0.005799979605714991,1800.0,"large sudden leak at 7462 m, d=27.2 mm, start=575 s"
leak_small_0189,1,598.6130229304677,4.17,6924.7,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,13674065.746467732,2386826.080840846,0.03316840575368545,39845.84210915827,0.008908800558833235,1800.0,"small sudden leak at 6925 m, d=4.2 mm, start=599 s"
normal_0095,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,13859613.740960548,2229947.1646751296,0.07163419515766256,20083.89905588121,0.008380086685446021,1800.0,Normal operation with demand variation
normal_0016,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,33601596.4211809,2807802.051057985,0.03574763095537188,13682.737972344581,0.008648901376999248,1800.0,Normal operation with demand variation
leak_medium_0226,1,839.9951713409287,14.92,2654.5,ramp,191.76940044868104,10000.0,0.508,4.6e-05,crude_oil,18412388.046547037,3347371.1298249913,0.024808832592232502,21849.88930517689,0.0057336528806567364,1800.0,"medium ramp leak at 2655 m, d=14.9 mm, start=840 s"
leak_medium_0242,1,858.3352372281907,9.01,4116.9,exponential,269.2132805350253,10000.0,0.508,4.6e-05,crude_oil,19350862.411039177,3890682.7596355346,0.07350210867351224,29815.958991556305,0.009101688696335881,1800.0,"medium exponential leak at 4117 m, d=9.0 mm, start=858 s"
normal_0035,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,4988138.631350292,4270131.588918158,0.02638517191228297,29503.750466763908,0.002723525815873062,1800.0,Normal operation with demand variation
leak_medium_0213,1,505.6173302987052,16.11,3869.6,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,9553996.662320731,2600164.0025048424,0.04618153684595385,26951.48338756393,0.0031674854942536053,1800.0,"medium sudden leak at 3870 m, d=16.1 mm, start=506 s"
normal_0161,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,22560931.477128528,4474055.669904295,0.03721354481380729,27473.342246181324,0.009948180185166744,1800.0,Normal operation with demand variation
normal_0078,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,9857661.348710872,2566036.904099537,0.022710387019365584,29575.5760225799,0.005964052453028948,1800.0,Normal operation with demand variation
leak_large_0167,1,566.774751115464,18.97,2606.9,exponential,156.38305299301015,10000.0,0.508,4.6e-05,crude_oil,8235281.098232773,1764702.7114077113,0.0267629639796716,20875.56645411207,0.0033479417544432354,1800.0,"large exponential leak at 2607 m, d=19.0 mm, start=567 s"
normal_0180,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,30827280.609198667,2478205.807495664,0.05184339746361405,19042.01910160557,0.0022485568005587197,1800.0,Normal operation with demand variation
normal_0004,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,17883281.039302442,3888734.263912414,0.02044173618506033,31154.961358790053,0.008245832248175744,1800.0,Normal operation with demand variation
normal_0188,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,19251026.319923066,4577941.067206898,0.04555825788877095,22532.29859088519,0.004058978504441169,1800.0,Normal operation with demand variation
normal_0120,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,15358988.860073589,3371102.6295124637,0.022423953730529793,37089.6746021841,0.0023609179656742282,1800.0,Normal operation with demand variation
leak_medium_0220,1,288.6622238371618,14.54,4021.7,ramp,222.72848783471568,10000.0,0.508,4.6e-05,crude_oil,16842870.6223489,4462888.592731802,0.03498948041910908,25276.278692308617,0.005755916253598881,1800.0,"medium ramp leak at 4022 m, d=14.5 mm, start=289 s"
leak_medium_0026,1,199.06495293957371,16.42,4875.3,exponential,284.4775010963478,10000.0,0.508,4.6e-05,crude_oil,21284766.302049182,2973692.195484992,0.04116469231149761,24746.973020109966,0.005895856658439962,1800.0,"medium exponential leak at 4875 m, d=16.4 mm, start=199 s"
leak_small_0183,1,835.842923805534,4.44,2480.1,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,37592456.15390394,4885946.597944269,0.06558036223927977,28284.66661268557,0.0031429569483268594,1800.0,"small sudden leak at 2480 m, d=4.4 mm, start=836 s"
normal_0236,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,27943168.025347345,3261124.843537107,0.053389165430647645,20658.446186583307,0.005282730871192333,1800.0,Normal operation with demand variation
leak_medium_0053,1,550.7565995323963,15.83,5829.7,exponential,259.77998654185967,10000.0,0.508,4.6e-05,crude_oil,19390351.12228097,4069682.7387638586,0.07953483243879494,34970.99075395003,0.007842126098240372,1800.0,"medium exponential leak at 5830 m, d=15.8 mm, start=551 s"
normal_0108,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,8552704.095012276,2072108.8705061625,0.0323234178603444,12994.931715303706,0.002859223650308618,1800.0,Normal operation with demand variation
normal_0229,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,19285929.182509165,3125405.6921101715,0.031902977796891684,27246.07126083203,0.00890341099963863,1800.0,Normal operation with demand variation
leak_medium_0229,1,514.978081656357,12.39,6544.2,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,24539667.17146887,4531846.719151477,0.07950620805516223,11362.922643362826,0.008322516077952227,1800.0,"medium sudden leak at 6544 m, d=12.4 mm, start=515 s"
leak_small_0079,1,525.0768352532996,7.12,5112.6,exponential,245.5766915160363,10000.0,0.508,4.6e-05,crude_oil,22678573.756338112,2437564.607270413,0.03907907027699075,33946.3552591521,0.009096312162644421,1800.0,"small exponential leak at 5113 m, d=7.1 mm, start=525 s"
normal_0241,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,25635379.89906138,4139316.960649507,0.050842891762331886,13508.416992676248,0.0028265828616679334,1800.0,Normal operation with demand variation
leak_large_0187,1,443.6763010561853,22.46,3043.9,exponential,72.77170263090005,10000.0,0.508,4.6e-05,crude_oil,15746931.200331518,3876535.098593319,0.06762793865898577,20522.018552298352,0.00528040410636782,1800.0,"large exponential leak at 3044 m, d=22.5 mm, start=444 s"
normal_0113,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,13626724.105748571,3266618.6274202815,0.07565029157750297,11577.279709691662,0.00956415912817525,1800.0,Normal operation with demand variation
normal_0203,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,23682364.402829,2793500.622248652,0.030219145286709735,18641.79906166422,0.007789962321534703,1800.0,Normal operation with demand variation
normal_0200,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,34834539.620455034,3150740.667185325,0.03947862002662002,27945.036401223242,0.009184960644008755,1800.0,Normal operation with demand variation
normal_0101,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,27184011.031512324,2014023.071874915,0.05233650597585121,21834.445538162632,0.007902380448850983,1800.0,Normal operation with demand variation
leak_medium_0028,1,377.97902916272386,9.02,7664.9,ramp,37.07440073070414,10000.0,0.508,4.6e-05,crude_oil,1342230.5640735726,699876.9929769598,0.062460854604804605,35406.22609341738,0.005252017630136883,1800.0,"medium ramp leak at 7665 m, d=9.0 mm, start=378 s"
leak_small_0205,1,322.39232759395054,6.77,5317.2,ramp,258.0771156278885,10000.0,0.508,4.6e-05,crude_oil,11486264.233595189,3187722.9365295144,0.056975722099434176,21236.484437663486,0.0025206210174201268,1800.0,"small ramp leak at 5317 m, d=6.8 mm, start=322 s"
leak_medium_0016,1,897.1313436738196,11.19,3038.1,ramp,47.18916911609318,10000.0,0.508,4.6e-05,crude_oil,24439471.258625966,2993784.675825324,0.022577457642538674,35291.74722897254,0.002454541427199851,1800.0,"medium ramp leak at 3038 m, d=11.2 mm, start=897 s"
normal_0247,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,19382383.570875734,2358746.9272676934,0.03395318091222055,21294.083032190978,0.005041884671194436,1800.0,Normal operation with demand variation
normal_0049,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,21702032.55351355,4170160.566638352,0.05237164611570072,24477.17525761882,0.008149020715675033,1800.0,Normal operation with demand variation
normal_0237,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,26776623.17012479,2877099.758959126,0.03792554423735794,18161.35567533008,0.005680299879225701,1800.0,Normal operation with demand variation
leak_small_0160,1,324.86723865062845,4.1,6090.9,exponential,133.7361608652131,10000.0,0.508,4.6e-05,crude_oil,12555309.061899152,3790545.7862343118,0.07870221333334859,22349.329506631708,0.00449744058085437,1800.0,"small exponential leak at 6091 m, d=4.1 mm, start=325 s"
leak_small_0204,1,533.9589043089568,5.59,6802.3,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,1731955.7341074748,1231955.7341074748,0.041463900524944086,15756.828163762224,0.0022644736043609176,1800.0,"small sudden leak at 6802 m, d=5.6 mm, start=534 s"
normal_0109,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16523823.179302663,3262814.544813677,0.0798006326911492,19718.100068129083,0.009589163989701128,1800.0,Normal operation with demand variation
leak_medium_0119,1,572.3219907825747,16.03,7544.7,ramp,142.0825648652605,10000.0,0.508,4.6e-05,crude_oil,15791385.153436106,1857774.846510828,0.04659067923471727,13324.131850979178,0.0035733826103063705,1800.0,"medium ramp leak at 7545 m, d=16.0 mm, start=572 s"
normal_0178,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16467432.332076525,2677000.406495766,0.04715047589146304,24393.9550826546,0.00982436596630384,1800.0,Normal operation with demand variation
normal_0075,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16046150.968047753,4663906.51807314,0.02599174862964377,10694.202837458393,0.009833797069658238,1800.0,Normal operation with demand variation
leak_large_0199,1,743.6415988470985,20.7,7124.9,ramp,261.454938444268,10000.0,0.508,4.6e-05,crude_oil,18762807.443485312,3532371.8397823414,0.06913063309654648,27075.20280216329,0.0032514306242669216,1800.0,"large ramp leak at 7125 m, d=20.7 mm, start=744 s"
normal_0141,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,26157546.065975692,2883321.2881561304,0.03133018522853834,24382.512244176734,0.008894515342528112,1800.0,Normal operation with demand variation
leak_small_0176,1,500.3285889361188,7.93,7300.3,ramp,189.5089121321344,10000.0,0.508,4.6e-05,crude_oil,15481085.28016668,3469460.6856522597,0.0670370948123337,16826.466064584645,0.006643254689443362,1800.0,"small ramp leak at 7300 m, d=7.9 mm, start=500 s"
normal_0069,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,2385914.621628724,532089.9481157431,0.06248547414101527,36700.58371353087,0.006750644384227581,1800.0,Normal operation with demand variation
leak_medium_0136,1,784.7525478219756,14.81,7516.8,ramp,267.3606318338924,10000.0,0.508,4.6e-05,crude_oil,22018817.204145912,2909937.6899767895,0.032261941624951815,18737.898001430243,0.006052358226584043,1800.0,"medium ramp leak at 7517 m, d=14.8 mm, start=785 s"
leak_medium_0228,1,795.8244008695691,10.2,5335.8,exponential,97.37111468255853,10000.0,0.508,4.6e-05,crude_oil,12908315.662581837,1820647.9405794921,0.04832233676319466,31386.151659010276,0.0037997459823658026,1800.0,"medium exponential leak at 5336 m, d=10.2 mm, start=796 s"
normal_0034,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,13882579.999692207,3058289.0953163467,0.06952397067177926,23269.423812036795,0.004415419131539933,1800.0,Normal operation with demand variation
normal_0132,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,9976669.822546395,1873988.3606753973,0.06563276136379201,20730.47894577923,0.005827239408693424,1800.0,Normal operation with demand variation
leak_medium_0021,1,764.5465102950617,11.93,3645.5,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,1437949.3028032607,570366.0142961751,0.06743892839602969,32437.04806444526,0.004838415353100792,1800.0,"medium sudden leak at 3645 m, d=11.9 mm, start=765 s"
normal_0137,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,36021879.27390751,4981884.747673037,0.038860876557794286,28188.98194578147,0.009510442833656308,1800.0,Normal operation with demand variation
leak_small_0234,1,345.4066991612115,6.9,7252.6,exponential,152.17726762052274,10000.0,0.508,4.6e-05,crude_oil,25461888.934377294,3458282.821155362,0.07180951505379307,12356.348914973718,0.0032794207349474505,1800.0,"small exponential leak at 7253 m, d=6.9 mm, start=345 s"
leak_large_0231,1,286.8789973312639,18.53,6718.3,ramp,78.43000585693002,10000.0,0.508,4.6e-05,crude_oil,18740907.13258736,3552346.612051749,0.05475559322998545,11221.99794416488,0.009542326113021297,1800.0,"large ramp leak at 6718 m, d=18.5 mm, start=287 s"
normal_0072,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,28297638.58530377,3637695.466323964,0.06065724581598764,32752.667115542623,0.0098673366079435,1800.0,Normal operation with demand variation
leak_small_0216,1,703.5469172437971,3.7,2212.3,ramp,86.74459387292416,10000.0,0.508,4.6e-05,crude_oil,8543102.758607073,3113287.1006502346,0.024477777870158705,10842.100357418709,0.005690526013848238,1800.0,"small ramp leak at 2212 m, d=3.7 mm, start=704 s"
normal_0002,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,35118985.4619589,2181235.4774818867,0.02925736952405287,39025.2919730263,0.004606602865105216,1800.0,Normal operation with demand variation
normal_0111,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,4464578.4253240805,2718583.393374578,0.04589114022124127,37983.38858970947,0.005131935836245307,1800.0,Normal operation with demand variation
normal_0157,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,2787355.3696566103,1353801.6792538546,0.0464577579078822,34892.49730374735,0.006366386285915708,1800.0,Normal operation with demand variation
leak_small_0135,1,496.50291021696387,7.5,2263.1,exponential,238.98650321795802,10000.0,0.508,4.6e-05,crude_oil,34149007.500958644,2743759.546245995,0.030103378918722556,28456.901516058762,0.003745193476488252,1800.0,"small exponential leak at 2263 m, d=7.5 mm, start=497 s"
leak_large_0014,1,363.7342888513504,28.32,3810.8,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,17576870.91272997,2094792.0697637356,0.07756275633891387,30280.56880268135,0.004651794589272992,1800.0,"large sudden leak at 3811 m, d=28.3 mm, start=364 s"
normal_0206,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,19622279.30143668,2644144.2315694625,0.0419028348130855,28063.58175500282,0.0030702914047508437,1800.0,Normal operation with demand variation
